epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,2249.6,1.72416,1.27524,0.93054,0.71411,0.70699,0.69871,0.2771,1.98103,1.45635,0.97201,0.000730818,0.000730818,0.000730818
101,2274.31,1.75547,1.27869,0.92992,0.69094,0.6986,0.69728,0.28813,1.92452,1.46264,0.96475,0.000729018,0.000729018,0.000729018
102,2299.16,1.74253,1.32958,0.92693,0.71064,0.69653,0.69486,0.28167,1.91765,1.45732,0.96286,0.000727218,0.000727218,0.000727218
103,2327.24,1.77947,1.23757,0.92274,0.74207,0.69105,0.69808,0.28705,1.91085,1.44973,0.95813,0.000725418,0.000725418,0.000725418
104,2360.62,1.70877,1.1941,0.91469,0.71198,0.70395,0.70521,0.28558,1.89312,1.43499,0.95828,0.000723619,0.000723619,0.000723619
105,2387.45,1.70827,1.25712,0.92664,0.73454,0.70335,0.7021,0.27852,1.91564,1.42355,0.96292,0.000721819,0.000721819,0.000721819
106,2419.1,1.70762,1.25641,0.91618,0.72376,0.68838,0.6905,0.27722,1.95358,1.41628,0.96489,0.000720019,0.000720019,0.000720019
107,2443.73,1.82257,1.28684,0.93404,0.7114,0.66863,0.64738,0.26825,1.95651,1.42236,0.97309,0.000718219,0.000718219,0.000718219
108,2466.63,1.87891,1.36083,0.95367,0.72465,0.66101,0.67901,0.26957,1.94569,1.48236,0.96057,0.000716419,0.000716419,0.000716419
109,2489.16,1.75481,1.26827,0.93368,0.69052,0.60631,0.64638,0.25373,1.97582,1.48354,0.96131,0.000714619,0.000714619,0.000714619
110,2512.26,1.74813,1.22998,0.9119,0.66808,0.66011,0.64941,0.25564,1.94335,1.44129,0.96834,0.00071282,0.00071282,0.00071282
111,2534.96,1.68685,1.19375,0.92039,0.63224,0.67576,0.6434,0.25771,1.99873,1.45261,0.97535,0.00071102,0.00071102,0.00071102
112,2558.35,1.68102,1.21307,0.9314,0.69357,0.70704,0.68846,0.28843,1.94435,1.43012,0.96628,0.00070922,0.00070922,0.00070922
113,2581.03,1.75714,1.26574,0.94594,0.71796,0.69683,0.69041,0.28736,1.94637,1.41812,0.97367,0.00070742,0.00070742,0.00070742
114,2603.88,1.70596,1.25408,0.93385,0.80066,0.64301,0.70425,0.27167,1.98844,1.43441,0.99605,0.00070562,0.00070562,0.00070562
115,2626.81,1.73092,1.20251,0.91595,0.7104,0.69198,0.69031,0.26919,2.00274,1.48115,0.99489,0.000703821,0.000703821,0.000703821
116,2649.78,1.84627,1.50621,0.93762,0.7052,0.67876,0.68418,0.27597,1.9827,1.47881,0.97821,0.000702021,0.000702021,0.000702021
117,2672.59,1.79408,1.27164,0.9253,0.73821,0.73043,0.73252,0.27756,2.01322,1.45204,0.98972,0.000700221,0.000700221,0.000700221
118,2697.02,1.8042,1.24598,0.90228,0.7071,0.65773,0.66331,0.26735,2.04202,1.42965,1.00818,0.000698421,0.000698421,0.000698421
119,2720.2,1.81011,1.16808,0.91044,0.72967,0.66298,0.67707,0.26589,2.02109,1.42295,0.99942,0.000696621,0.000696621,0.000696621
120,2743.38,1.82793,1.22007,0.92111,0.73414,0.65802,0.65713,0.25672,2.02768,1.4555,0.98019,0.000694821,0.000694821,0.000694821
121,2766.28,1.7615,1.25139,0.91442,0.72258,0.68452,0.68348,0.26007,2.01557,1.3988,0.98953,0.000693022,0.000693022,0.000693022
