epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1690.94,0.88797,2.1414,0.78398,1.12862,0.97968,0.8459,0.95791,0.7024,0.81372,0.76644,0.7704,0.33668,0.96504,3.18989,0.80927,1.26514,0.0010298,0.0010298,0.0010298
51,1721.79,0.89142,2.12181,0.78757,1.16575,1,0.85311,0.96117,0.6693,0.8495,0.82456,0.84412,0.35018,1.03117,3.227,0.80291,1.29126,0.00101,0.00101,0.00101
52,1753.81,0.88636,2.13352,0.74613,1.15491,0.97501,0.87719,0.94026,0.67696,0.88909,0.77193,0.83121,0.38331,0.91976,3.24567,0.74292,1.26172,0.0009902,0.0009902,0.0009902
53,1784.79,0.86298,2.0952,0.74882,1.10542,0.9885,0.85965,0.95411,0.70494,0.94609,0.82456,0.86557,0.39369,0.89905,3.16536,0.74688,1.23071,0.0009704,0.0009704,0.0009704
54,1816.47,0.84188,1.9723,0.75206,1.10469,0.96328,0.87719,0.96819,0.70585,0.92153,0.82413,0.91247,0.40589,0.87048,2.92336,0.75442,1.18634,0.0009506,0.0009506,0.0009506
55,1848.45,0.96449,2.25606,0.80645,1.19809,0.94489,0.90245,0.9665,0.72141,0.88994,0.85122,0.90931,0.41186,0.88743,2.79127,0.76089,1.21796,0.0009308,0.0009308,0.0009308
56,1880.39,0.82855,1.99172,0.71043,1.1027,0.97214,0.91228,0.95405,0.67656,0.88548,0.82456,0.8602,0.41104,0.96889,3.20672,0.85913,1.3194,0.000911,0.000911,0.000911
57,1912.09,0.84478,1.97812,0.75858,1.12761,0.96634,0.91228,0.94729,0.65692,0.87759,0.82456,0.83952,0.40227,1.07498,3.33959,0.91102,1.40897,0.0008912,0.0008912,0.0008912
58,1945.34,0.93262,2.14777,0.79558,1.15651,0.98009,0.86385,0.95392,0.61546,0.91327,0.78947,0.82719,0.3822,1.09961,3.20311,0.90839,1.42201,0.0008714,0.0008714,0.0008714
59,1979.26,0.87561,1.98222,0.70465,1.10544,0.99117,0.84211,0.9478,0.644,0.93614,0.78947,0.83935,0.40042,0.99642,3.04768,0.83879,1.31188,0.0008516,0.0008516,0.0008516
60,2012.68,0.80401,2.00054,0.65656,1.09038,0.89432,0.89088,0.91859,0.6758,0.87752,0.77193,0.82628,0.39424,0.91183,2.81493,0.78798,1.24616,0.0008318,0.0008318,0.0008318
61,2045.07,0.89095,1.97272,0.71079,1.14644,0.885,0.94507,0.93761,0.685,0.80794,0.82456,0.80403,0.39416,0.87125,2.78166,0.77095,1.21751,0.000812,0.000812,0.000812
62,2078.25,0.7926,1.93299,0.7088,1.09376,0.8728,0.89474,0.90636,0.6758,0.82129,0.84211,0.81363,0.4087,0.87682,2.77171,0.75579,1.23236,0.0007922,0.0007922,0.0007922
